symptom,disease
"I’ve been experiencing stomach pain and sometimes I get heartburn. Yes, it tends to get worse after meals, especially spicy ones. I’ll make an appointment soon.",peptic ulcer disease
The pain is worse when I walk or go up stairs. What treatments can help ease the pain?,arthritis
"I’ve been coughing up mucus, and it’s getting worse. Yes, I have a low-grade fever, and it’s hard to take deep breaths. What will the doctor do to treat it?",pneumonia
I’m concerned about long-term mobility issues due to cervical spondylosis. Will it get harder to move my neck as I age? I’m worried it will limit my ability to do everyday activities. I’ll focus on staying active and following my treatment plan.,cervical spondylosis
"I’ve been urinating a lot more than usual, and it’s very painful. Yes, there’s pressure and some pain. No blood, just pain.",urinary tract infection
"I’ve been dealing with painful cystic acne around my jawline. I’ve been using benzoyl peroxide, but it doesn’t seem to help with the cysts. Are oral treatments safe for long-term use?",acne
"I’ve been sneezing a lot today and my nose feels congested. I’m not sure. Maybe pollen? Yes, my eyes are itchy too.",allergy
"My child has been having recurring fevers and is very tired. About a week, and yes, headaches and sweating are frequent. Yes, we visited a rural area last month.",malaria
"I’ve noticed I’m getting a lot of hives after eating shellfish. Yes, but it wasn’t as severe this time.",allergy
"My cough is persistent, and I feel exhausted all the time. Yes, I’ve had a fever for the past two days, and I’m struggling to take deep breaths. How long should I wait before seeing a doctor?",pneumonia
"I've been feeling feverish for a few days. Around 101°F. Yes, I’ve had stomach pain and some diarrhea. Yes, I just returned from India.",typhoid
"My skin has been itching a lot after taking my medication. No swelling, just the itching. I will, thanks.",drug reaction
"I’ve been feeling pain in my lower back and when I urinate. About three days. No fever, but I do feel weak.",urinary tract infection
I feel like my neck pain is worse at the end of the day. Is that normal with cervical spondylosis? I spend a lot of time hunched over my computer. I’ll set up my workstation better and take breaks more often.,cervical spondylosis
"I’ve been noticing some swollen veins on my legs. For the past couple of months. Yes, they hurt sometimes, especially after standing. Yes, my aunt had them.",varicose veins
"I have pain in the upper part of my stomach, and it feels like a gnawing sensation. It gets worse when I’m hungry. Eating seems to help, but the pain comes back after a while. I’ll make an appointment. Thanks for your help.",peptic ulcer disease
Can changes in my diet help with migraines? I think caffeine might be affecting me. I’ll start cutting back on caffeine.,migraine
"I’ve been coughing a lot, and it’s been getting worse. Yes, I’ve had a fever, and it’s getting hard to breathe. Should I go to the emergency room?",pneumonia
"Can air pollution make my asthma worse? Yes, I do. Should I use my inhaler when air quality is bad?",bronchial asthma
"I sometimes feel like I can’t catch my breath after I laugh too hard. Could it be asthma? Yes, I get wheezing, especially when I’m laughing or exercising. Would my doctor be able to help with this?",bronchial asthma
"I’ve been urinating a lot more often, and it’s painful each time. Yes, I’ve been drinking water, but it doesn’t help.",urinary tract infection
"Are there any medications that can help with the pain from cervical spondylosis? I’ve been taking ibuprofen, but it doesn’t seem to help much. I’ll talk to my doctor about other options.",cervical spondylosis
"I’ve heard about using a clay mask for acne. Does it help? No, I haven’t. I was curious if it would help. How often should I use it?",acne
"I feel really weak and have a high fever. Yes, my joints and muscles hurt a lot. Yes, I have a rash, and my nose has bled a bit.",dengue
"My vision has become blurry, and I’m having trouble focusing. Could this be a symptom of diabetes? Yes, I’m drinking a lot more water, and I’ve been feeling really fatigued. Yes, I’ve noticed that even small cuts are taking longer to heal. I’ll make an appointment to get checked. Thank you for the advice.",diabetes
"I have a fever, and my body feels really sore. Yes, both my eyes and joints hurt. Yes, I have a rash, and I had a nosebleed this morning.",dengue
"I’ve been sneezing and coughing for days, and now I have a mild fever. It’s around 100°F. Should I be worried about the fever? What should I do for the sneezing?",common cold
"I’ve noticed white patches on my tongue that won’t go away. Yes, it feels sore, especially when I eat spicy food or drink hot beverages. Yes, I was on antibiotics for a throat infection last month. Sometimes my mouth feels dry, but no issues with swallowing.",fungal infection
"I’ve been getting more cuts lately, and they seem to take longer to heal. Could this be related to diabetes? I’ve been feeling more thirsty than usual, and my vision is a bit blurry too. I’ll make an appointment today. Thanks for your help.",diabetes
"I have a fever and pain all over my body. Yes, both my eyes and joints hurt. Yes, I have a rash and some nosebleeds.",dengue
"I have fluid-filled blisters that are turning into scabs. Yes, they are. They’re itchy and sometimes sore.",impetigo
"I’ve been getting a lot of stomach issues after eating certain foods. I think it’s gluten. Every time I eat bread or pasta, I feel bloated and uncomfortable. I’ll avoid gluten and talk to my doctor. Thanks for the suggestion!",allergy
I’ve been getting whiteheads around my nose and chin. What can I do about them? I haven’t been exfoliating regularly. How often should I exfoliate?,acne
"I’ve been breaking out more recently, and I’m not sure what’s causing it. I’ve been under a lot of stress at work, and I’m not sleeping well. Should I focus more on stress management or skincare?",acne
"I have some painful, fluid-filled bumps on my skin. Yes, they’re leaking yellow fluid. Yes, the fluid is forming a crust.",impetigo
"I’ve heard asthma can be triggered by certain foods. Is that true? I’m not sure, but I’ve had some reactions after eating dairy. I’ll try cutting back on dairy and see if it helps.",bronchial asthma
"My nails are brittle and discolored. Yes, they’re yellow and harder to trim. It’s been a few months now. Can I still use nail polish?",fungal infection
"I’ve had a cold for a few days, and now my nose is really blocked. I’ve tried a nasal spray, but it doesn’t seem to help much. How long will this congestion last? Should I avoid going outside in the cold air?",common cold
"I have a sore throat, but I haven’t had a runny nose or cough. No, just the sore throat. Should I rest more? Should I see a doctor if my throat doesn’t get better?",common cold
"I’ve been feeling short of breath recently. Could it be asthma? Yes, I’ve had it since childhood, but it’s been under control. No, nothing specific has changed.",bronchial asthma
"Is there a link between my family history and my migraines? My mother gets migraines, so that might be why I’m experiencing them. I’ll talk to my doctor about it.",migraine
"I get a runny nose and itchy skin when I’m outside. Yes, especially in the spring.",allergy
"I’ve noticed some red, dry patches on my skin. On my elbows and knees. Yes, they itch a lot, and sometimes they feel sore. About two months. Yes, both seem to trigger it. Yes, my father has psoriasis.",psoriasis
"I’ve been having neck pain and stiffness lately. Could it be cervical spondylosis? Yes, my arms sometimes feel tingly, especially in the morning. I’ll make an appointment.",cervical spondylosis
"I’ve had red patches on my skin for a while. They’re mostly on my elbows and knees. Yes, they itch a lot, and sometimes they sting. About two months. Yes, both seem to make it worse. Yes, my dad has psoriasis.",psoriasis
"I’ve been feeling pain and swelling in my fingers, and they’ve been getting stiff. It’s been happening for several months, and the pain gets worse in the mornings. What treatments can help with this?",arthritis
"I’ve noticed that I’m having trouble sleeping at night. Could this be related to diabetes? Yes, I’ve been waking up a lot at night to use the bathroom and feel more thirsty than usual. I’ll make an appointment to get checked. Thanks!",diabetes
"I’ve been getting red, scaly patches on my scalp. Yes, they’re itchy, and sometimes I see flakes in my hair. Yes, a little bit of hair has fallen out around the patches. Should I avoid sharing my comb?",fungal infection
I’ve heard that migraines can cause visual disturbances. What does that mean? I’ve had zigzag patterns in my vision before. I’ll try to take my medication earlier next time.,migraine
"The skin on my groin area is red and itchy. Yes, it’s worse after I exercise or when I’m sweating a lot. Yes, the edges are darker and feel rough. Should I avoid working out for now?",fungal infection
I’ve heard that alcohol can raise blood pressure. How much is too much? I drink more than that sometimes. I’ll try to limit it to a couple of drinks a week.,hypertension
"I have red patches on my skin that are really itchy. Yes, I used a new laundry detergent.",allergy
"I’ve been having fever and muscle pain for two days. Yes, both my eyes and joints hurt. Yes, I have a rash, and I’ve had nosebleeds.",dengue
"I’ve been feeling like my stomach is always upset after I eat. Yes, I feel bloated and get heartburn sometimes. I’ll give it a try. Thanks for the advice!",gastroesophageal reflux disease
"I’ve had a fever for the past few days with bad headaches. It started three days ago, and I get chills before the fever, followed by sweating after it breaks. Yes, I’m extremely tired and can’t get much done. Yes, I traveled to a tropical country last month.",malaria
"I’ve been feeling feverish, with aches and pains all over. Yes, both my eyes and joints are sore. Yes, I have a rash, and I’ve had some nosebleeds.",dengue
"I’ve been feeling feverish and weak with stomach pain. Yes, I’ve had diarrhea. Yes, I just got back from India.",typhoid
"I’m experiencing pain and swelling around my anus, and it’s been going on for a few days. Yes, there’s a little blood each time I wipe. How do I prevent them from getting worse?",dimorphic hemorrhoids
"I’ve developed dry, red patches on my skin. They’re mostly on my elbows and knees. Yes, they itch a lot, and sometimes they feel sore. About two months now. Yes, both make it worse. Yes, my father has it.",psoriasis
"I’ve been using a new acne treatment, but my skin feels really irritated and tight. It’s been about a week, and I feel like it’s getting worse. Should I stop using it completely?",acne
"I’ve had a cold for about a week, but now my cough is much worse and I’m having trouble breathing. Yes, I’ve had a fever and chills for the past couple of days. What tests will the doctor do?",pneumonia
"I’ve been told to get a flu shot since I have asthma. Should I get it? No, I haven’t. I’ll make an appointment to get it.",bronchial asthma
"I have some small blisters that are leaking yellow fluid. They’re mostly on my face. Yes, they are.",impetigo
"I’ve been feeling really congested, and now I have a cough too. It’s dry, but sometimes it feels like there’s something stuck in my throat. How long should I expect the cough to last? Can I take something to stop the coughing?",common cold
"I keep having this burning sensation in my stomach, and it’s worse in the morning. I haven’t tried that. I’ll give it a try.",peptic ulcer disease
"I have a fever and feel weak, with pain in my muscles and joints. Yes, I have a rash, and my nose has been bleeding a little.",dengue
"I feel weak and have had a fever for a few days. Yes, I have stomach cramps and diarrhea. Yes, I was in Southeast Asia recently.",typhoid
"I feel like I have a lump in my throat sometimes, especially after eating. Yes, I often get heartburn. I’ll try eating earlier in the evening. Thanks for the advice!",gastroesophageal reflux disease
"I’ve had a sore throat, runny nose, and fatigue for a few days. It’s getting a little worse, and now I’m sneezing more. Should I take any medication? How long will I feel this way?",common cold
"My hemorrhoids are swollen, and I’ve been having pain when passing stools. Yes, there’s some blood on the toilet paper, but it’s not a lot. Is there anything I can do to ease the pain?",dimorphic hemorrhoids
"I’ve been waking up with a sore throat and a cough. Yes, I have heartburn often, especially in the evenings. I’ll try elevating my bed. Thanks for the suggestion!",gastroesophageal reflux disease
"My acne is really bad right now, and I’m feeling frustrated because I’ve been doing everything right. I’m using a gentle cleanser, benzoyl peroxide, and a moisturizer. No, just those three. What types of treatments might they suggest?",acne
"My knees have been painful, and I have trouble getting up after sitting for a while. It gets a little better when I walk around, but it’s still there. What kinds of treatments can help with osteoarthritis in the knees?",arthritis
"I’m developing blisters all over my body. Yes, they are. Yes, I’ve had a mild fever and feel fatigued.",chicken pox
"I often get migraines in the evening. Could something I’m doing during the day be contributing? I work at a desk all day, and I’m on the computer a lot. I’ll make a conscious effort to do that.",migraine
"Every time I eat nuts, my mouth itches. No, it’s just the itching.",allergy
"My stomach feels bloated and I’m burping a lot. Yes, I get heartburn after meals. I’ll do that. Thanks!",gastroesophageal reflux disease
"I have red, scaly patches between my fingers. They itch a lot, and the skin feels cracked sometimes. Yes, I clean a lot at work without gloves. Can I still work while treating it?",fungal infection
"I get asthma symptoms whenever I’m exposed to dust. What can I do? I try to keep the house clean, but I still seem to have symptoms. I’ll try using an air purifier and a mask.",bronchial asthma
Is there a way to prevent cervical spondylosis from getting worse? I’m going to work on my posture. I’ll look into neck exercises.,cervical spondylosis
"My shoulders are stiff, and it’s hard to move them without pain. It’s worse when I try to lift or stretch my arms. Will physical therapy help with the stiffness?",arthritis
I’ve heard that physical therapy can help with cervical spondylosis. How does it work? I’ve never tried physical therapy before. That sounds helpful.,cervical spondylosis
"I’ve been feeling nauseous and feverish. For about four days now. Yes, I’ve had some stomach cramps and diarrhea. Yes, I was in a rural area of Africa.",typhoid
"I’ve been having trouble with my vision lately. Everything seems blurry, even with my glasses. Yes, I’ve been feeling more thirsty than usual. I’ll get it checked. Thanks!",diabetes
"I’ve been experiencing joint pain ever since I started my new medication. No swelling, just the pain in my knees. I’ll do that. Thanks for the advice.",drug reaction
"I’ve noticed my acne getting worse after switching to a new moisturizer. It’s a rich, thick moisturizer, but I have oily skin. Should I stop using my current moisturizer completely?",acne
"I have yellow, crusty sores around my nose. They’re mostly itchy.",impetigo
I’ve heard that smoking can affect blood pressure. Is that true? I smoke a pack a day. I’ve tried quitting before but struggled. I’ll ask for help next time.,hypertension
"I’ve had hemorrhoids in the past, but now I’m having more bleeding than usual. Yes, there’s a painful lump, and I noticed blood after wiping. Will this go away on its own?",dimorphic hemorrhoids
"I have a sore throat, and my nose is completely blocked. Just some mild sneezing and fatigue. What else can I do for the sore throat? How long will it take for my nose to clear up?",common cold
"I’ve been having a burning feeling in my chest and sometimes a sour taste in my mouth. Yes, spicy and fatty foods seem to make it worse. I’ll try cutting back on those. Thanks for the help!",gastroesophageal reflux disease
"I feel a constant pressure in my bladder and pain when I urinate. Yes, it smells strong, and it looks cloudy.",urinary tract infection
"I’ve noticed that my stomach hurts a lot when I’m stressed. Yes, it definitely seems worse when I’m stressed. I’ll see if they can help with that.",peptic ulcer disease
"I’ve been urinating frequently, and it’s very painful. For two days. Yes, there’s pressure and pain.",urinary tract infection
"My stomach hurts, and I’ve been feeling feverish. For about four days. Yes, I’ve had diarrhea. Yes, I went to India.",typhoid
"I noticed small, red sores that have developed into blisters. Yes, they’re leaking a yellowish fluid. Yes, they’re starting to form a crust.",impetigo
"I’ve noticed my eyes turning yellow, and I feel weak. About a week ago. Yes, my urine is darker, and I feel nauseous sometimes. No recent travel or new medications, but I did have a bad stomach infection two weeks ago.",jaundice
I’m worried about using my inhaler too often. Is it safe? I’ve been using it multiple times a day lately. Should I be using another type of medication for long-term control?,bronchial asthma
"I’ve been getting a lot of cuts and bruises lately, and they seem to take forever to heal. Could it be diabetes? No, but I’ve also been feeling more tired than usual. I’ll do that. Thanks for the help.",diabetes
"I’ve been feeling constant pressure in my bladder and painful urination. Yes, it’s a bit cloudy and has a strong odor. About four days now.",urinary tract infection
"I’ve been feeling pain and swelling in my knees for a while now. Yes, the pain is worse when I stand for too long or walk too much. What treatments are commonly used for osteoarthritis in the knees?",arthritis
"My hips are aching, and I feel stiff when I wake up in the morning. Yes, the pain is worse when I walk for a long time or climb stairs. Will weight loss help with the pain?",arthritis
"I’ve had constant bloating and discomfort in my stomach. Yes, I feel bloated after meals, especially with fatty foods. I’ll go soon. Thanks.",peptic ulcer disease
"I feel feverish every few days and have no energy. Yes, I get chills and then sweat a lot after the fever. Yes, I went on a safari trip a few weeks ago.",malaria
"I’ve been coughing up mucus that’s yellow and thick. Yes, my chest hurts when I cough, and it’s hard to breathe deeply. How serious can this get?",pneumonia
"I’m feeling bloated and there’s pain when I urinate. No fever, just the bloating and pain.",urinary tract infection
"I’ve been feeling feverish, and my muscles are sore. Yes, both my eyes and joints are hurting. Yes, I have a rash, and I’ve had a few nosebleeds.",dengue
"My eyes have been itching, and I’m sneezing a lot lately. Yes, I’ve been hiking more recently. I’ll definitely try that next time. Any other tips?",allergy
"After taking painkillers, I felt dizzy and lightheaded. I usually take them on an empty stomach. I’ll try that next time.",drug reaction
"I’ve been feeling more stressed lately. Can stress raise my blood pressure? Not very well, I think. Work has been hectic. I’ll try to take breaks during the day.",hypertension
"I feel a burning sensation every time I go to the bathroom, and I have an urgent need to urinate. For two days now. Yes, it smells stronger than usual.",urinary tract infection
"My acne has started to appear on my neck, and I’m not sure why. Yes, I wear scarves and high-collared tops sometimes. Should I use acne treatment on my neck too?",acne
"I’ve been feeling pressure in my bladder, and there’s burning when I pee. A few days now.",urinary tract infection
"I’ve had a fever and stomach cramps for the past few days. Yes, I’ve had both. Yes, I was in India last month.",typhoid
"I have itchy blisters that are spreading all over my body. Yes, I’ve had a fever and feel very tired.",chicken pox
"I’ve been using a cold compress to relieve my migraines, but it doesn’t always work. I’ll give a warm compress a try. I’ll try alternating between hot and cold.",migraine
"I’ve been feeling feverish and have terrible headaches every day. It’s been about five days, and yes, the fever comes and goes with intense chills. Yes, I’m completely drained. I can barely get out of bed. Yes, I was in Southeast Asia just last month.",malaria
"I’ve been feeling pain in my joints, especially in my knees and hands. It's been happening for a few months now, and it seems to be getting worse. It comes and goes, but it’s especially worse in the mornings. Yes, there’s some swelling in my knees and fingers.",arthritis
"I have a ring-shaped rash on my shoulder that’s spreading. Yes, it’s itchy and the edges are rough. Yes, I’ve been using shared towels at the gym. How long will it take to go away?",fungal infection
"My skin is covered with red itchy bumps. Some are blistering, and others are already scabs. Yes, I’ve had a mild fever and feel exhausted.",chicken pox
"I have sores on my face that are leaking yellow fluid. Yes, they are. They’re mostly itchy.",impetigo
"My eyes are swollen and itchy, and I can’t stop sneezing. Yes, I usually get allergies in the spring.",allergy
"I’ve noticed my wounds are taking much longer to heal than they used to. Could this be a sign of diabetes? Yes, I’ve been drinking a lot of water lately, and sometimes my vision seems a little blurry. I’ll make an appointment to get checked. Thanks for your help!",diabetes
"I’ve had a runny nose and sore throat for a few days, but now I’m also feeling a bit of body aches. They’re mild, mostly in my back and shoulders. Will the body aches go away soon? Should I still go to work?",common cold
"I’ve been feeling congested and have a cough. Could this be related to asthma? Yes, I’ve been coughing more than usual, especially at night. Should I use my inhaler more often?",bronchial asthma
"I have visible, swollen veins on my legs. Mostly on my lower legs and ankles. Yes, they’re often sore and swollen. About four months. Yes, my dad has them.",varicose veins
"My toddler’s eyes are yellow, and he seems tired. Since yesterday. He’s not eating much, and he feels warm.",jaundice
"My nose has been running for two days, and now I feel a bit feverish. A little bit of body aches, but no chills. Can I still work while I have a cold? What should I do to reduce the congestion?",common cold
"I have fluid-filled blisters on my skin. Yes, they are extremely itchy. Yes, I’ve been feeling feverish and weak.",chicken pox
"I’ve been having a lot of indigestion and bloating lately. Yes, there’s a burning sensation, especially at night. I’ll check with my doctor. Thanks!",peptic ulcer disease
"My acne is mostly around my chin and jawline. Yes, it’s worse right before my period. Are those treatments safe for long-term use?",acne
"I’ve been getting these red pimples on my face, especially around my cheeks and forehead. A mix of both, but the deeper ones hurt a lot. Stress seems to make it worse, and I recently tried a new moisturizer.",acne
I’ve been trying to reduce my alcohol intake. How much is safe for someone with high blood pressure? I’ve been having a drink a few times a week. I’ll monitor how I feel after drinking.,hypertension
"Can smoking make cervical spondylosis worse? I smoke, but I’ve been thinking about quitting. I’ll talk to my doctor about quitting.",cervical spondylosis
"I’ve noticed that I get sick more often lately, with frequent colds and infections. Could this be linked to diabetes? Yes, I’ve been drinking more water than usual and feeling more tired. I’ll schedule a test. Thanks for the advice!",diabetes
"I have some red, swollen bumps that have turned into blisters. Yes, they’re leaking yellowish fluid. Yes, they are.",impetigo
I’ve heard that a DASH diet can help lower blood pressure. What is it? That sounds like a healthy diet! I’ll try incorporating more of those foods into my meals.,hypertension
"I’ve been noticing more bleeding than usual after bowel movements. It’s not a lot, just a small amount after wiping, but it’s been happening for a few days now. Can hemorrhoids cause long-term issues?",dimorphic hemorrhoids
"My stomach hurts a lot in the morning, and it gets better after eating. I’ve been feeling more tired than usual, but no weight loss. Thanks! I’ll make an appointment.",peptic ulcer disease
"I’ve been using benzoyl peroxide for a while, but it’s not doing much for my acne. I’ve heard retinoids can be irritating. How long does it take to see results with retinoids?",acne
"I’ve been feeling pain in my pelvic region and frequent urination. For the past three days. Yes, I’ve had a UTI once.",urinary tract infection
"I’ve noticed bulging veins on my legs, especially near my ankles. For the past three months. Yes, they swell up and hurt when I stand. Yes, my dad has them.",varicose veins
"My cold is making me feel tired all the time. I’m resting, but I still feel exhausted. Will the fatigue last the whole time I’m sick? Should I stay home from work?",common cold
"I’ve noticed dry, itchy patches on my skin that are red and flaky. On my elbows and knees. About two months. Yes, both make it worse.",psoriasis
My stomach feels upset after I started my new diabetes medication. Sometimes I feel nauseous too. I’ll try taking it with food. Thanks.,drug reaction
I’ve been getting migraines during my menstrual cycle. Could it be related? I’ve noticed mine start around my period. I’ll ask my doctor about that.,migraine
"My child has a bald patch with scaly skin on their scalp. Yes, it’s itchy, and there are tiny bumps near the edges. Yes, they play with our dog often. Should we check the dog as well?",fungal infection
"I’ve been prescribed medication for my migraines, but I’m worried about side effects. I haven’t had any side effects yet, but I want to be cautious. I’ll keep that in mind.",migraine
"I have fluid-filled bumps that are oozing a yellow substance. Yes, they’re forming a crust. They’re mostly itchy.",impetigo
"I’ve been getting a rash on my body ever since I started this new medication. No, just the rash. I’ll call them tomorrow. Thanks for the advice.",drug reaction
"I’ve been having trouble sleeping because of my neck pain. Do you have any tips for sleeping better with cervical spondylosis? I sleep on my side, but I don’t think my pillow supports my neck well. I’ll try switching pillows.",cervical spondylosis
"My scalp has greasy, yellowish flakes. It’s itchy, but not really sore. I use hair gel daily but wash my hair only twice a week. Should I stop using hair gel?",fungal infection
"My hips have been aching, and I can feel stiffness when I try to move them. Yes, it gets worse after standing for a while or walking for long distances. Will losing weight help with the pain?",arthritis
"I’ve noticed that whenever I eat dairy, my skin starts itching and I get some hives. Yes, but it’s never been this bad. I’ll try cutting dairy out and see if it helps.",allergy
My skin has developed blisters that are weeping fluid. They’re on my face and hands. They’re itchy and a little painful.,impetigo
Can cervical spondylosis affect my balance? I’ve been feeling a little off-balance lately. I’ll make an appointment soon.,cervical spondylosis
"I’ve developed a rash after eating some strawberries. Yes, but this time I ate a lot of them.",allergy
"I’ve been eating normally, but I’ve lost some weight without trying. Is this something to worry about? Yes, I’ve been drinking a lot of water, and I’m using the bathroom more frequently. I’ll do that. Thanks for the guidance.",diabetes
"I’ve got a rash that’s itchy and blistering. Yes, I’ve had a fever and feel weak.",chicken pox
"I have blisters on my skin, and they’re really itchy. Yes, I’ve had a mild fever for a few days.",chicken pox
"My baby’s eyes are yellow, and she hasn’t been eating much. She’s five days old, and it started two days ago. No, it’s less frequent than before.",jaundice
"I have small red bumps on my skin that are blistering. Yes, I have a low fever and feel very tired.",chicken pox
I’ve heard that drinking more water helps with acne. Is that true? I haven’t changed my skincare much. I’m mainly worried about how to manage it. Should I start using a serum or stick to basic products?,acne
"I sometimes feel like there’s something stuck in my stomach after eating. Yes, there’s mild pain sometimes. I’ll make an appointment.",peptic ulcer disease
"I have a fever, stomach cramps, and diarrhea. For about a week now. Yes, I was in Southeast Asia.",typhoid
"I’m having fever episodes and feeling very weak afterward. The fever comes back every 48 hours, and it usually lasts for a few hours. Yes, I feel very cold before the fever and sweat heavily once it subsides. Yes, I was in Africa about two weeks ago.",malaria
I’m feeling unusually tired after starting my new antidepressant. It’s been about a week. I’ll give it some time. Thanks for your help.,drug reaction
Can certain foods help reduce high blood pressure? I’ll add more of those to my diet. I’ll start with more leafy greens.,hypertension
"I noticed a rash on my face with yellow crusting. Yes, the blisters are oozing and crusting. They’re itchy.",impetigo
"I’m coughing up thick, yellow mucus, and I feel tired all the time. Yes, it’s hard to breathe, and my chest hurts when I cough.",pneumonia
"I’ve been having some discomfort in my chest after meals. Yes, I get heartburn often. I’ll work on that. Thanks!",gastroesophageal reflux disease
"I’ve been feeling pain in my elbows when I lift things or even when I rest them. It gets worse when I move my arms, especially when I try to lift or carry things. Are there exercises I can do to help with the pain?",arthritis
"I’ve been feeling feverish with aches and chills for a few days. The fever started about four days ago, and yes, I feel incredibly tired afterward. Yes, I sweat a lot after the fever. Yes, I went to Southeast Asia last month.",malaria
"I've been running a fever, and my muscles are sore. Yes, both my eyes and joints hurt. Yes, I have a rash, and my nose has been bleeding.",dengue
"I’ve been feeling nauseous and feverish for the past few days. Yes, I’ve had stomach cramps and diarrhea. Yes, I just returned from Africa.",typhoid
"Can cold viruses trigger asthma symptoms? Yes, I have a bit of a runny nose and cough. Should I take extra precautions when I’m sick?",bronchial asthma
"I’ve had hemorrhoids before, but now I’m experiencing more discomfort and swelling. Yes, there’s blood each time I wipe, and the pain seems to be getting worse. How can I prevent them from returning?",dimorphic hemorrhoids
"I’m trying to avoid processed foods, but I find it difficult. Do you have any tips? Batch cooking sounds like a good idea. I’ll try that next week.",hypertension
"I’ve had a cold for about five days, and now I’m starting to cough. It’s a dry cough, but I feel like there’s something in my chest. Should I take something for the cough? Should I be concerned about it?",common cold
"I’m feeling pressure in my lower abdomen and I have to urinate often, but only a little comes out. Yes, there’s a slight burning sensation when I pee. For about two days now.",urinary tract infection
"I’ve been having a lot of pain and bleeding with bowel movements. It’s been going on for about a week, and I do feel some swelling. Can I do anything to reduce the pain in the meantime?",dimorphic hemorrhoids
I’ve been feeling a bit more short of breath than usual. Could that be linked to my high blood pressure? I’ll let my doctor know.,hypertension
"My toddler has red, scaly patches on their face. Yes, they keep scratching at it. Yes, they’ve been around our dog a lot. Should we take the dog to the vet?",fungal infection
"I’m pregnant and I get migraines. What are safe treatment options? I’m avoiding medication right now, so I’ll try other methods. I’ll try that next time.",migraine
"My legs feel heavy, and I have visible veins that seem swollen. It started a few months ago. Yes, it’s worse after standing for too long. Yes, my grandmother had them.",varicose veins
"I have a rash with small blisters that’s very itchy. Yes, I’ve had a fever for a couple of days.",chicken pox
"My skin is dry and flaky, and it’s getting worse. On my knees, elbows, and lower back. Yes, it’s really itchy, and sometimes it hurts to touch.",psoriasis
"I’ve been coughing a lot and now I’m feeling very weak. Yes, I’ve had a fever for the past two days and feel winded easily. What kind of tests will they run?",pneumonia
"I sometimes get a burning sensation in my stomach after meals. Yes, sometimes I feel a burning in my chest as well. I’ll try that. Thanks!",gastroesophageal reflux disease
"My stomach feels really full and uncomfortable after eating, and I often burp a lot. Yes, heartburn is pretty common for me. I’ll try eating smaller meals. Thanks!",gastroesophageal reflux disease
"I’ve been feeling pressure and discomfort around my anus, and there’s blood when I wipe. Yes, the area feels swollen, and there’s a lump that gets more painful after sitting for long periods. What can I do to ease the pain?",dimorphic hemorrhoids
"I’ve been feeling feverish and have stomach cramps. For about five days. Yes, I’ve had some diarrhea. Yes, I went to Southeast Asia recently.",typhoid
"My skin has small, fluid-filled bumps that are oozing. Yes, they are. They’re a bit tender and itchy.",impetigo
I’ve noticed that my acne gets worse whenever I eat certain foods. Chocolate and milk seem to make it worse. Can diet changes alone clear my acne?,acne
"My throat feels scratchy, and I’ve been sneezing non-stop. I’ve been walking through a park every day. I’ll try that. Can I use nasal spray too?",allergy
"The skin around my groin area has turned red and flaky. Yes, it’s very itchy, and the edges are darker than the middle. Yes, I’ve been wearing tight workout clothes. Should I avoid exercising?",fungal infection
"I’ve been burping a lot after meals, and my stomach feels unsettled. Yes, I have heartburn too, especially after eating. I’ll schedule a check-up.",peptic ulcer disease
"I’ve been taking my asthma medication, but I’m still experiencing wheezing. Should I be concerned? I’m wheezing almost every day, especially in the morning. What changes could my doctor make to my treatment?",bronchial asthma
"I was diagnosed with asthma as a child, but I feel fine now. Can I outgrow it? No, I feel fine, but I’m concerned about future flare-ups. I will, thanks!",bronchial asthma
How can I tell if my neck pain is from cervical spondylosis or a herniated disc? My pain has been getting worse over time. I’ll ask for an MRI.,cervical spondylosis
"My legs feel sore, and I can see veins bulging. About three months now. Yes, they get sore, especially after standing for long periods. Yes, my dad has them.",varicose veins
"My armpits are red and itchy, and it feels worse after sweating. Yes, there’s a slight smell and the skin feels rough. No, but I’ve been sweating more due to the hot weather. Should I stop using deodorant?",fungal infection
I have yellow crusty patches around my nose. They’re forming scabs. They’re more itchy than painful.,impetigo
"I’ve had a cough for a few days, and now I’m feeling short of breath. Yes, I’ve been having chills and a fever on and off. How can they tell if it’s pneumonia?",pneumonia
"My legs feel sore, and I can see swollen veins. For about two months now. Yes, they get sore after standing for too long. Yes, my aunt has them.",varicose veins
"My cold started with a sore throat, but now I’ve developed a dry cough. It’s been persistent, and it gets worse at night. Should I take a cough suppressant? How long will this cough last?",common cold
"I’ve been feeling feverish and weak, and my stomach hurts. Yes, I’ve had both. Yes, I was in Southeast Asia.",typhoid
I’m starting to notice that I’m having trouble lifting things because of my neck pain. Could that be related to cervical spondylosis? I’ve had some weakness in my arms recently. I’ll make an appointment soon.,cervical spondylosis
"My throat feels sore, and I have a mild fever. Yes, I’ve also had a runny nose and some sneezing. Can I take pain relievers?",common cold
"I get heartburn almost every day, and I’m worried it’s damaging my esophagus. I’ve tried antacids, but they don’t seem to work anymore. I’ll schedule an appointment soon.",gastroesophageal reflux disease
"The skin under my breasts is red and irritated. Yes, it’s itchy, sometimes moist, and there’s a slight odor. Yes, it’s been really hot, and I’ve been sweating a lot. No, I haven’t tried anything yet.",fungal infection
